key,name,description,cover_image_url,external_url,start_year,stop_year,retire_count,year
b1f1,Box 1 Folder 1,1925-1926,/group_thumbs/b1f1.png,,1925,1926,99,1949
b1f2-3,Box 1 Folder 2-3,1926-1927,/group_thumbs/b1f2-3.png,,1926,1927,99,1977
b1f4-5,Box 1 Folder 4-5,1927-1928,/group_thumbs/b1f4-5.png,,1927,1928,99,1990
b1f6,Box 1 Folder 6,1928-1929,/group_thumbs/b1f6.png,,1928,1929,99,1993
b1f7,Box 1 Folder 7,1929-1930,/group_thumbs/b1f7.png,,1929,1930,99,1934
b1f8,Box 1 Folder 8,1930-1931,/group_thumbs/b1f8.png,,1930,1931,99,1972
b1f9,Box 1 Folder 9,1931-1933,/group_thumbs/b1f9.png,,1931,1933,99,1971
b1f10,Box 1 Folder 10,1933-1934,/group_thumbs/b1f10.png,,1933,1934,99,1981
b1f11,Box 1 Folder 11,1934-1935,/group_thumbs/b1f11.png,,1934,1935,99,1991
b1f12,Box 1 Folder 12,1935-1937,/group_thumbs/b1f12.png,,1935,1937,99,1968
b1f13,Box 1 Folder 13,1937-1940,/group_thumbs/b1f13.png,,1937,1940,99,1910
b1f14,Box 1 Folder 14,1940-1942,/group_thumbs/b1f14.png,,1940,1942,99,1970
b1f15,Box 1 Folder 15,1942-1945,/group_thumbs/b1f15.png,,1942,1945,99,1982
b1f16,Box 1 Folder 16,1945-1947,/group_thumbs/b1f16.png,,1945,1947,99,1980
b1f17,Box 1 Folder 17,1947-1948,/group_thumbs/b1f17.png,,1947,1948,99,1922
b1f18-19,Box 1 Folder 18-19,1948-1949,/group_thumbs/b1f18-19.png,,1948,1949,99,1951
b1f20,Box 1 Folder 20,1949-1950,/group_thumbs/b1f20.png,,1949,1950,99,1986
b2f21-22,Box 2 Folder 21-22,1950-1951,/group_thumbs/b2f21-22.png,,1950,1951,99,1993
b2f23-24,Box 2 Folder 23-24,1951-1952,/group_thumbs/b2f23-24.png,,1951,1952,99,1962
b2f25-26,Box 2 Folder 25-26,1952-1953,/group_thumbs/b2f25-26.png,,1952,1953,99,1985
b2f27,Box 2 Folder 27,1953-1954,/group_thumbs/b2f27.png,,1953,1954,99,1930
b2f28-29,Box 2 Folder 28-29,1954-1955,/group_thumbs/b2f28-29.png,,1954,1955,99,1970
b2f30,Box 2 Folder 30,1955-1956,/group_thumbs/b2f30.png,,1955,1956,99,1917
b2f31,Box 2 Folder 31,1956-1957,/group_thumbs/b2f31.png,,1956,1957,99,1984
b2f32,Box 2 Folder 32,1957-1958,/group_thumbs/b2f32.png,,1957,1958,99,1994
b2f33,Box 2 Folder 33,1958-1959,/group_thumbs/b2f33.png,,1958,1959,99,1922
b2f34,Box 2 Folder 34,1959-1960,/group_thumbs/b2f34.png,,1959,1960,99,1992
b2f35-36,Box 2 Folder 35-36,1960-1961,/group_thumbs/b2f35-36.png,,1960,1961,99,1938
b3f37-38,Box 3 Folder 37-38,1961-1962,/group_thumbs/b3f37-38.png,,1961,1962,99,1951
b3f39-41,Box 3 Folder 39-41,1962-1963,/group_thumbs/b3f39-41.png,,1962,1963,99,1932
b3f42-44,Box 3 Folder 42-44,1963-1964,/group_thumbs/b3f42-44.png,,1963,1964,99,1941
b3f45-48,Box 3 Folder 45-48,1964-1965,/group_thumbs/b3f45-48.png,,1964,1965,99,1970
b4f49-52,Box 4 Folder 49-52,1965-1966,/group_thumbs/b4f49-52.png,,1965,1966,99,1936
b4f53-54,Box 4 Folder 53-54,1966-1967,/group_thumbs/b4f53-54.png,,1966,1967,99,1950
b4f55-56,Box 4 Folder 55-56,1967-1968,/group_thumbs/b4f55-56.png,,1967,1968,99,1912
b4f57-58,Box 4 Folder 57-58,1968-1969,/group_thumbs/b4f57-58.png,,1968,1969,99,1960
b4f59-60,Box 4 Folder 59-60,1969-1970,/group_thumbs/b4f59-60.png,,1969,1970,99,1915
b5f61-64,Box 5 Folder 61-64,1970-1971,/group_thumbs/b5f61-64.png,,1970,1971,99,1944
b5f65-66,Box 5 Folder 65-66,1971-1972,/group_thumbs/b5f65-66.png,,1971,1972,99,1921
b16f208-210,Box 16 Folder 208-210,1972-1973,/group_thumbs/b16f208-210.png,,1972,1973,99,1975
b16f211-214,Box 16 Folder 211-214,1973-1974,/group_thumbs/b16f211-214.png,,1973,1974,99,1912
b16f215-217,Box 16 Folder 215-217,1974-1975,/group_thumbs/b16f215-217.png,,1974,1975,99,1966
b16f218-219,Box 16 Folder 218-219,1975-1976,/group_thumbs/b16f218-219.png,,1975,1976,99,1922
b17f220-221,Box 17 Folder 220-221,1975-1976,/group_thumbs/b17f220-221.png,,1975,1976,99,1940
b17f222-226,Box 17 Folder 222-226,1976-1977,/group_thumbs/b17f222-226.png,,1976,1977,99,1940
b17f227-231,Box 17 Folder 227-231,1977-1978,/group_thumbs/b17f227-231.png,,1977,1978,99,1996
b18f232-235,Box 18 Folder 232-235,1978-1979,/group_thumbs/b18f232-235.png,,1978,1979,99,1950
b5f67-69,Box 5 Folder 67-69,1979-1980,/group_thumbs/b5f67-69.png,,1979,1980,99,1967
b5f70-74,Box 5 Folder 70-74,1980-1981,/group_thumbs/b5f70-74.png,,1980,1981,99,1991
b6f75-78,Box 6 Folder 75-78,1981-1982,/group_thumbs/b6f75-78.png,,1981,1982,99,1978
b6f79-82,Box 6 Folder 79-82,1982-1983,/group_thumbs/b6f79-82.png,,1982,1983,99,1972
b6f83-86,Box 6 Folder 83-86,1983-1984,/group_thumbs/b6f83-86.png,,1983,1984,99,1933
b18f237,Box 18 Folder 237,1983-1984,/group_thumbs/b18f237.png,,1983,1984,99,1948
b7f87-91,Box 7 Folder 87-91,1984-1985,/group_thumbs/b7f87-91.png,,1984,1985,99,1913
b7f92-95,Box 7 Folder 92-95,1985-1986,/group_thumbs/b7f92-95.png,,1985,1986,99,1965
b7f96,Box 7 Folder 96,1986-1987,/group_thumbs/b7f96.png,,1986,1987,99,1995
b8f97-100,Box 8 Folder 97-100,1986-1987,/group_thumbs/b8f97-100.png,,1986,1987,99,1926
b8f101-104,Box 8 Folder 101-104,1987-1988,/group_thumbs/b8f101-104.png,,1987,1988,99,1972
b8f105-106,Box 8 Folder 105-106,1988-1989,/group_thumbs/b8f105-106.png,,1988,1989,99,1995
b9f107-108,Box 9 Folder 107-108,1988-1989,/group_thumbs/b9f107-108.png,,1988,1989,99,1940
b9f109-112,Box 9 Folder 109-112,1989-1990,/group_thumbs/b9f109-112.png,,1989,1990,99,1992
b9f113-114,Box 9 Folder 113-114,1990-1991,/group_thumbs/b9f113-114.png,,1990,1991,99,1933
b10f115-117,Box 10 Folder 115-117,1990-1991,/group_thumbs/b10f115-117.png,,1990,1991,99,1975
b10f118-120,Box 10 Folder 118-120,1991-1992,/group_thumbs/b10f118-120.png,,1991,1992,99,1940
b10f121-125,Box 10 Folder 121-125,1992-1993,/group_thumbs/b10f121-125.png,,1992,1993,99,1986
b18f236,Box 18 Folder 236,1992-1993,/group_thumbs/b18f236.png,,1992,1993,99,1920
b11f126-129,Box 11 Folder 126-129,1993-1994,/group_thumbs/b11f126-129.png,,1993,1994,99,1977
b11f130-134,Box 11 Folder 130-134,1994-1995,/group_thumbs/b11f130-134.png,,1994,1995,99,1985
b11f135,Box 11 Folder 135,1995-1996,/group_thumbs/b11f135.png,,1995,1996,99,1964
b12f136-139,Box 12 Folder 136-139,1995-1996,/group_thumbs/b12f136-139.png,,1995,1996,99,1971
b12f140-144,Box 12 Folder 140-144,1996-1997,/group_thumbs/b12f140-144.png,,1996,1997,99,1929
b12f145-147,Box 12 Folder 145-147,1997-1998,/group_thumbs/b12f145-147.png,,1997,1998,99,1998
b12f148-149,Box 12 Folder 148-149,1998-1999,/group_thumbs/b12f148-149.png,,1998,1999,99,1985
b13f150-151,Box 13 Folder 150-151,1998-1999,/group_thumbs/b13f150-151.png,,1998,1999,99,1951
b13f152-156,Box 13 Folder 152-156,1999-2000,/group_thumbs/b13f152-156.png,,1999,2000,99,1938
b13f157-161,Box 13 Folder 157-161,2000-2001,/group_thumbs/b13f157-161.png,,2000,2001,99,1926
b14f162,Box 14 Folder 162,2000-2001,/group_thumbs/b14f162.png,,2000,2001,99,1931
b14f163-167,Box 14 Folder 163-167,2001-2002,/group_thumbs/b14f163-167.png,,2001,2002,99,1942
b14f168-172,Box 14 Folder 168-172,2002-2003,/group_thumbs/b14f168-172.png,,2002,2003,99,1958
b14f173-175,Box 14 Folder 173-175,2003-2004,/group_thumbs/b14f173-175.png,,2003,2004,99,1986
b15f176-178,Box 15 Folder 176-178,2003-2004,/group_thumbs/b15f176-178.png,,2003,2004,99,1933
b15f179-183,Box 15 Folder 179-183,2004-2005,/group_thumbs/b15f179-183.png,,2004,2005,99,1937
b15f184-187,Box 15 Folder 184-187,2005-2006,/group_thumbs/b15f184-187.png,,2005,2006,99,1983
b19f188,Box 19 Folder 188,2005-2006,/group_thumbs/b19f188.png,,2005,2006,99,1924
b19f189-193,Box 19 Folder 189-193,2006-2007,/group_thumbs/b19f189-193.png,,2006,2007,99,1981
b19f194-198,Box 19 Folder 194-198,2007-2008,/group_thumbs/b19f194-198.png,,2007,2008,99,1910
b20f199,Box 20 Folder 199,2007-2008,/group_thumbs/b20f199.png,,2007,2008,99,1986
b20f200-207,Box 20 Folder 200-207,2008-2009,/group_thumbs/b20f200-207.png,,2008,2009,99,1959
b20f208,Box 20 Folder 208,2009-2010,/group_thumbs/b20f208.png,,2009,2010,99,1988